No,title,company
1,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
2,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
3,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
4,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
5,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
6,Data Scientist,"Koniag, Inc."
7,보훈대상자 인재 채용,네오위즈
8,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
9,지스트 블록체인경제센터 계약직연구원,광주과학기술원
10,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
11,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
12,Developer / Designer recruit,마이뮤직테이스트
13,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
14,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
15,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
16,"Design Consultant, Staff",Synopsys
17,Quantitative Researcher,자산운용: Quantitative Research
18,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
19,각 부문별 신입/경력 수시,제우스
20,[해외취업] AI 엔지니어,株式会社ASCOM
21,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
22,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
23,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
24,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
25,기후 분석&모델링연구실 시간제연구원,광주과학기술원
26,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
27,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
28,사내 및 서비스 보안 담당자 (경력),네오위즈
29,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
30,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
31,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
32,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
33,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
34,Developers,Coinplug
35,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
36,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
37,정보보안 담당자,Nexon
38,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
39,[전문연구요원] 상시,네이버
40,2020년 국내 석/박사 산학장학생,LG유플러스
41,데이터 분석가 모집,카카오
42,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
43,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
44,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
45,[카카오커머스] 기술직군,카카오커머스
46,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
47,하나손해보험 경력직,하나손해보험
48,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
49,Sr Systems Administrator I,Raytheon Intelligence & Space
50,Data Scientist,Boston Consulting Group
51,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
52,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
53,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
54,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
55,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
56,Data Scientist,"Koniag, Inc."
57,보훈대상자 인재 채용,네오위즈
58,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
59,지스트 블록체인경제센터 계약직연구원,광주과학기술원
60,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
61,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
62,Developer / Designer recruit,마이뮤직테이스트
63,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
64,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
65,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
66,"Design Consultant, Staff",Synopsys
67,Quantitative Researcher,자산운용: Quantitative Research
68,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
69,각 부문별 신입/경력 수시,제우스
70,[해외취업] AI 엔지니어,株式会社ASCOM
71,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
72,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
73,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
74,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
75,기후 분석&모델링연구실 시간제연구원,광주과학기술원
76,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
77,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
78,사내 및 서비스 보안 담당자 (경력),네오위즈
79,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
80,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
81,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
82,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
83,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
84,Developers,Coinplug
85,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
86,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
87,정보보안 담당자,Nexon
88,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
89,[전문연구요원] 상시,네이버
90,2020년 국내 석/박사 산학장학생,LG유플러스
91,데이터 분석가 모집,카카오
92,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
93,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
94,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
95,[카카오커머스] 기술직군,카카오커머스
96,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
97,하나손해보험 경력직,하나손해보험
98,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
99,Sr Systems Administrator I,Raytheon Intelligence & Space
100,Data Scientist,Boston Consulting Group
101,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
102,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
103,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
104,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
105,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
106,Data Scientist,"Koniag, Inc."
107,보훈대상자 인재 채용,네오위즈
108,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
109,지스트 블록체인경제센터 계약직연구원,광주과학기술원
110,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
111,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
112,Developer / Designer recruit,마이뮤직테이스트
113,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
114,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
115,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
116,"Design Consultant, Staff",Synopsys
117,Quantitative Researcher,자산운용: Quantitative Research
118,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
119,각 부문별 신입/경력 수시,제우스
120,[해외취업] AI 엔지니어,株式会社ASCOM
121,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
122,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
123,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
124,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
125,기후 분석&모델링연구실 시간제연구원,광주과학기술원
126,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
127,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
128,사내 및 서비스 보안 담당자 (경력),네오위즈
129,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
130,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
131,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
132,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
133,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
134,Developers,Coinplug
135,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
136,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
137,정보보안 담당자,Nexon
138,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
139,[전문연구요원] 상시,네이버
140,2020년 국내 석/박사 산학장학생,LG유플러스
141,데이터 분석가 모집,카카오
142,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
143,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
144,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
145,[카카오커머스] 기술직군,카카오커머스
146,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
147,하나손해보험 경력직,하나손해보험
148,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
149,Sr Systems Administrator I,Raytheon Intelligence & Space
150,Data Scientist,Boston Consulting Group
151,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
152,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
153,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
154,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
155,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
156,Data Scientist,"Koniag, Inc."
157,보훈대상자 인재 채용,네오위즈
158,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
159,지스트 블록체인경제센터 계약직연구원,광주과학기술원
160,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
161,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
162,Developer / Designer recruit,마이뮤직테이스트
163,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
164,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
165,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
166,"Design Consultant, Staff",Synopsys
167,Quantitative Researcher,자산운용: Quantitative Research
168,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
169,각 부문별 신입/경력 수시,제우스
170,[해외취업] AI 엔지니어,株式会社ASCOM
171,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
172,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
173,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
174,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
175,기후 분석&모델링연구실 시간제연구원,광주과학기술원
176,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
177,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
178,사내 및 서비스 보안 담당자 (경력),네오위즈
179,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
180,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
181,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
182,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
183,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
184,Developers,Coinplug
185,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
186,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
187,정보보안 담당자,Nexon
188,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
189,[전문연구요원] 상시,네이버
190,2020년 국내 석/박사 산학장학생,LG유플러스
191,데이터 분석가 모집,카카오
192,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
193,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
194,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
195,[카카오커머스] 기술직군,카카오커머스
196,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
197,하나손해보험 경력직,하나손해보험
198,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
199,Sr Systems Administrator I,Raytheon Intelligence & Space
200,Data Scientist,Boston Consulting Group
201,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
202,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
203,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
204,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
205,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
206,Data Scientist,"Koniag, Inc."
207,보훈대상자 인재 채용,네오위즈
208,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
209,지스트 블록체인경제센터 계약직연구원,광주과학기술원
210,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
211,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
212,Developer / Designer recruit,마이뮤직테이스트
213,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
214,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
215,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
216,"Design Consultant, Staff",Synopsys
217,Quantitative Researcher,자산운용: Quantitative Research
218,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
219,각 부문별 신입/경력 수시,제우스
220,[해외취업] AI 엔지니어,株式会社ASCOM
221,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
222,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
223,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
224,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
225,기후 분석&모델링연구실 시간제연구원,광주과학기술원
226,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
227,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
228,사내 및 서비스 보안 담당자 (경력),네오위즈
229,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
230,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
231,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
232,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
233,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
234,Developers,Coinplug
235,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
236,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
237,정보보안 담당자,Nexon
238,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
239,[전문연구요원] 상시,네이버
240,2020년 국내 석/박사 산학장학생,LG유플러스
241,데이터 분석가 모집,카카오
242,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
243,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
244,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
245,[카카오커머스] 기술직군,카카오커머스
246,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
247,하나손해보험 경력직,하나손해보험
248,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
249,Sr Systems Administrator I,Raytheon Intelligence & Space
250,Data Scientist,Boston Consulting Group
251,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
252,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
253,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
254,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
255,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
256,Data Scientist,"Koniag, Inc."
257,보훈대상자 인재 채용,네오위즈
258,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
259,지스트 블록체인경제센터 계약직연구원,광주과학기술원
260,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
261,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
262,Developer / Designer recruit,마이뮤직테이스트
263,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
264,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
265,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
266,"Design Consultant, Staff",Synopsys
267,Quantitative Researcher,자산운용: Quantitative Research
268,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
269,각 부문별 신입/경력 수시,제우스
270,[해외취업] AI 엔지니어,株式会社ASCOM
271,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
272,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
273,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
274,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
275,기후 분석&모델링연구실 시간제연구원,광주과학기술원
276,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
277,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
278,사내 및 서비스 보안 담당자 (경력),네오위즈
279,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
280,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
281,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
282,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
283,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
284,Developers,Coinplug
285,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
286,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
287,정보보안 담당자,Nexon
288,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
289,[전문연구요원] 상시,네이버
290,2020년 국내 석/박사 산학장학생,LG유플러스
291,데이터 분석가 모집,카카오
292,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
293,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
294,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
295,[카카오커머스] 기술직군,카카오커머스
296,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
297,하나손해보험 경력직,하나손해보험
298,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
299,Sr Systems Administrator I,Raytheon Intelligence & Space
300,Data Scientist,Boston Consulting Group
301,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
